event_id,indicator,release_date,actual,consensus,surprise,surprise_pct,regime,ff_rate,yc_10y2y,hy_spread,vix,cuts_implied,sp500_t0,sp500_t1,sp500_t5,sp500_t10,sp500_t20,ret_t1,ret_t5,ret_t10,ret_t20,forecast_source,data_source,analysis,updated_at
ISM_MFG_20220801,ISM Manufacturing PMI,2022-08-01,52.8,52.0,0.8,1.5385,,,,,,,,,,,,,,,,manual,investing.com,,2026-03-13 31:31:40
ISM_MFG_20220901,ISM Manufacturing PMI,2022-09-01,52.8,52.0,0.8,1.5385,,,,,,,,,,,,,,,,manual,investing.com,,2026-03-13 31:31:40
ISM_MFG_20221003,ISM Manufacturing PMI,2022-10-03,50.9,52.2,-1.3,-2.4904,,,,,,,,,,,,,,,,manual,investing.com,,2026-03-13 31:31:40
ISM_MFG_20221101,ISM Manufacturing PMI,2022-11-01,50.2,50.0,0.2,0.4,,,,,,,,,,,,,,,,manual,investing.com,,2026-03-13 31:31:40
ISM_MFG_20221202,ISM Manufacturing PMI,2022-12-02,49.0,49.8,-0.8,-1.6064,,,,,,,,,,,,,,,,manual,investing.com,,2026-03-13 31:31:40
ISM_MFG_20230105,ISM Manufacturing PMI,2023-01-05,48.4,48.5,-0.1,-0.2062,,,,,,,,,,,,,,,,manual,investing.com,,2026-03-13 31:31:40
ISM_MFG_20230202,ISM Manufacturing PMI,2023-02-02,47.4,48.0,-0.6,-1.25,,,,,,,,,,,,,,,,manual,investing.com,,2026-03-13 31:31:40
ISM_MFG_20230302,ISM Manufacturing PMI,2023-03-02,47.7,48.0,-0.3,-0.625,,,,,,,,,,,,,,,,manual,investing.com,,2026-03-13 31:31:40
ISM_MFG_20230403,ISM Manufacturing PMI,2023-04-03,46.3,47.5,-1.2,-2.5263,,,,,,,,,,,,,,,,manual,investing.com,,2026-03-13 31:31:40
ISM_MFG_20230501,ISM Manufacturing PMI,2023-05-01,47.1,46.8,0.3,0.641,,,,,,,,,,,,,,,,manual,investing.com,,2026-03-13 31:31:40
ISM_MFG_20230601,ISM Manufacturing PMI,2023-06-01,46.9,47.0,-0.1,-0.2128,,,,,,,,,,,,,,,,manual,investing.com,,2026-03-13 31:31:40
ISM_MFG_20230703,ISM Manufacturing PMI,2023-07-03,46.0,47.2,-1.2,-2.5424,,,,,,,,,,,,,,,,manual,investing.com,,2026-03-13 31:31:40
ISM_MFG_20230801,ISM Manufacturing PMI,2023-08-01,46.4,46.8,-0.4,-0.8547,,,,,,,,,,,,,,,,manual,investing.com,,2026-03-13 31:31:40
ISM_MFG_20230901,ISM Manufacturing PMI,2023-09-01,47.6,47.0,0.6,1.2766,,,,,,,,,,,,,,,,manual,investing.com,,2026-03-13 31:31:40
ISM_MFG_20231002,ISM Manufacturing PMI,2023-10-02,49.0,47.7,1.3,2.7254,,,,,,,,,,,,,,,,manual,investing.com,,2026-03-13 31:31:40
ISM_MFG_20231101,ISM Manufacturing PMI,2023-11-01,46.7,49.0,-2.3,-4.6939,,,,,,,,,,,,,,,,manual,investing.com,,2026-03-13 31:31:40
