event_id,indicator,release_date,actual,consensus,surprise,surprise_pct,regime,ff_rate,yc_10y2y,hy_spread,vix,cuts_implied,sp500_t0,sp500_t1,sp500_t5,sp500_t10,sp500_t20,ret_t1,ret_t5,ret_t10,ret_t20,forecast_source,data_source,analysis,updated_at
ISM_NONMFG_2023-07-06,ISM Non-Manufacturing PMI,2023-07-06,53.9,51.0,2.9,5.6863,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2023-06-05,ISM Non-Manufacturing PMI,2023-06-05,50.3,52.2,-1.9,-3.6398,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2023-05-03,ISM Non-Manufacturing PMI,2023-05-03,51.9,51.8,0.1,0.1931,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2023-04-05,ISM Non-Manufacturing PMI,2023-04-05,51.2,54.5,-3.3,-6.055,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2023-03-04,ISM Non-Manufacturing PMI,2023-03-04,55.1,54.5,0.6,1.1009,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2023-02-04,ISM Non-Manufacturing PMI,2023-02-04,55.2,50.4,4.8,9.5238,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2023-01-07,ISM Non-Manufacturing PMI,2023-01-07,49.6,55.0,-5.4,-9.8182,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2022-12-06,ISM Non-Manufacturing PMI,2022-12-06,56.5,53.3,3.2,6.0038,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2022-11-03,ISM Non-Manufacturing PMI,2022-11-03,54.4,55.5,-1.1,-1.982,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2022-10-05,ISM Non-Manufacturing PMI,2022-10-05,56.7,56.0,0.7,1.25,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2022-09-06,ISM Non-Manufacturing PMI,2022-09-06,56.9,55.1,1.8,3.2668,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2022-08-03,ISM Non-Manufacturing PMI,2022-08-03,56.7,53.5,3.2,5.9813,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2022-07-06,ISM Non-Manufacturing PMI,2022-07-06,55.3,54.3,1.0,1.8416,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2022-06-03,ISM Non-Manufacturing PMI,2022-06-03,55.9,56.4,-0.5,-0.8865,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2022-05-04,ISM Non-Manufacturing PMI,2022-05-04,57.1,58.5,-1.4,-2.3932,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2022-04-05,ISM Non-Manufacturing PMI,2022-04-05,58.3,58.4,-0.1,-0.1712,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2022-03-04,ISM Non-Manufacturing PMI,2022-03-04,56.5,61.0,-4.5,-7.377,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2022-02-04,ISM Non-Manufacturing PMI,2022-02-04,59.9,59.5,0.4,0.6723,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2022-01-07,ISM Non-Manufacturing PMI,2022-01-07,62.0,66.9,-4.9,-7.3244,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2021-12-04,ISM Non-Manufacturing PMI,2021-12-04,69.1,65.0,4.1,6.3077,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2021-11-03,ISM Non-Manufacturing PMI,2021-11-03,66.7,62.0,4.7,7.5806,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2021-10-05,ISM Non-Manufacturing PMI,2021-10-05,61.9,60.0,1.9,3.1667,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2021-09-03,ISM Non-Manufacturing PMI,2021-09-03,61.7,61.5,0.2,0.3252,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2021-08-04,ISM Non-Manufacturing PMI,2021-08-04,64.1,60.5,3.6,5.9504,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2021-07-06,ISM Non-Manufacturing PMI,2021-07-06,60.1,63.5,-3.4,-5.3543,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2021-06-03,ISM Non-Manufacturing PMI,2021-06-03,64.0,63.0,1.0,1.5873,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2021-05-05,ISM Non-Manufacturing PMI,2021-05-05,62.7,64.3,-1.6,-2.4883,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2021-04-05,ISM Non-Manufacturing PMI,2021-04-05,63.7,59.0,4.7,7.9661,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2021-03-04,ISM Non-Manufacturing PMI,2021-03-04,55.3,58.7,-3.4,-5.7922,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2021-02-04,ISM Non-Manufacturing PMI,2021-02-04,58.7,56.8,1.9,3.3451,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2021-01-08,ISM Non-Manufacturing PMI,2021-01-08,57.2,54.6,2.6,4.7619,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2020-12-04,ISM Non-Manufacturing PMI,2020-12-04,55.9,56.0,-0.1,-0.1786,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2020-11-05,ISM Non-Manufacturing PMI,2020-11-05,56.6,57.5,-0.9,-1.5652,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2020-10-05,ISM Non-Manufacturing PMI,2020-10-05,57.8,56.3,1.5,2.6643,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2020-09-03,ISM Non-Manufacturing PMI,2020-09-03,56.9,57.0,-0.1,-0.1754,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2020-08-05,ISM Non-Manufacturing PMI,2020-08-05,58.1,55.0,3.1,5.6364,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2020-07-06,ISM Non-Manufacturing PMI,2020-07-06,57.1,50.1,7.0,13.9721,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2020-06-03,ISM Non-Manufacturing PMI,2020-06-03,45.4,44.0,1.4,3.1818,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2020-05-05,ISM Non-Manufacturing PMI,2020-05-05,41.8,36.8,5.0,13.587,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2020-04-03,ISM Non-Manufacturing PMI,2020-04-03,52.5,44.0,8.5,19.3182,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2020-03-05,ISM Non-Manufacturing PMI,2020-03-05,57.3,54.9,2.4,4.3716,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2020-02-06,ISM Non-Manufacturing PMI,2020-02-06,55.5,55.0,0.5,0.9091,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2020-01-08,ISM Non-Manufacturing PMI,2020-01-08,55.0,54.5,0.5,0.9174,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2019-12-05,ISM Non-Manufacturing PMI,2019-12-05,53.9,54.5,-0.6,-1.1009,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2019-11-06,ISM Non-Manufacturing PMI,2019-11-06,54.7,53.5,1.2,2.243,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2019-10-03,ISM Non-Manufacturing PMI,2019-10-03,52.6,55.0,-2.4,-4.3636,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2019-09-05,ISM Non-Manufacturing PMI,2019-09-05,56.4,54.0,2.4,4.4444,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
ISM_NONMFG_2019-08-05,ISM Non-Manufacturing PMI,2019-08-05,53.7,55.5,-1.8,-3.2432,,,,,,,,,,,,,,,,,investing.com,,2026-03-13T11:21:01Z
